English Title,Tagalog Title,Meaning,Chapter No.,Chapter Title,Characters,Text Excerpt
Hospitality,Pagmapagpatuloy,Pagkamapagpatuloy sa Noli Me Tángere ay sumasalamin sa kolonyal na pagpapahalaga ng mga Pilipino at sa pagnanais na makilala sa lipunan.,29,Ang Araw ng Pista,unspecified,Pagkamapagpatuloy sa Noli Me Tángere ay sumasalamin sa kolonyal na pagpapahalaga ng mga Pilipino at sa pagnanais na makilala sa lipunan.
Hospitality,Pagmapagpatuloy,"Ipinagdiriwang ni Kapitan Tiyago ang pagbabalik ni Crisostomo Ibarra sa pamamagitan ng isang marangyang salu-salo, kung saan inimbitahan ang mga prayle, opisyal na Kastila, at mga tanyag na panauhin.",37,Ang Kapitan Heneral,"Kapitan Tiyago, Crisostomo Ibarra","Ipinagdiriwang ni Kapitan Tiyago ang pagbabalik ni Crisostomo Ibarra sa pamamagitan ng isang marangyang salu-salo, kung saan inimbitahan ang mga prayle, opisyal na Kastila, at mga tanyag na panauhin."
Hospitality,Pagmapagpatuloy,Ang kabutihang ito ay isang kalkuladong hakbang upang mapanatili ang kanyang reputasyon bilang debotong Katoliko at makaangat sa ilalim ng pamahalaang Kastila.,54,Walang Lihim ang Hindi Nabubunyag,unspecified,Ang kabutihang ito ay isang kalkuladong hakbang upang mapanatili ang kanyang reputasyon bilang debotong Katoliko at makaangat sa ilalim ng pamahalaang Kastila.
Hospitality,Pagmapagpatuloy,"Ipinapakita ng pagkain, musika, at kasayahan ang init ng kulturang Pilipino.",32,Ang Paghugos,unspecified,"Ipinapakita ng pagkain, musika, at kasayahan ang init ng kulturang Pilipino."
Hospitality,Pagmapagpatuloy,Ngunit nalalantad din ang pag-akyat sa lipunan at pakitang-tao.,14,Tasyo: Baliw o Pilosopo?,unspecified,Ngunit nalalantad din ang pag-akyat sa lipunan at pakitang-tao.
Hospitality,Pagmapagpatuloy,Ikinumpara ni Rizal ang tunay na pakikipagkapwa sa pagkasira nito dahil sa kolonyal na kaisipan.,12,Ang Araw ng mga Patay,Rizal,Ikinumpara ni Rizal ang tunay na pakikipagkapwa sa pagkasira nito dahil sa kolonyal na kaisipan.
Hospitality,Pagmapagpatuloy,"Maging ang kabutihan ay nagiging kasangkapan para sa kapangyarihan, prestihiyo, at kaligtasan.",2,Crisostomo Ibarra,unspecified,"Maging ang kabutihan ay nagiging kasangkapan para sa kapangyarihan, prestihiyo, at kaligtasan."
Religion,Relihiyon,Ipinapakita ng Noli Me Tángere ang kontrast sa pagitan ng tunay na pananampalataya at ng katiwalian ng kaparian.,1,Ang Pagtitipon,unspecified,Ipinapakita ng Noli Me Tángere ang kontrast sa pagitan ng tunay na pananampalataya at ng katiwalian ng kaparian.
Religion,Relihiyon,"Ang Katolisismo ang nangingibabaw sa lipunan, ngunit ginagamit nina Padre Dámaso at Padre Salví ang relihiyon para sa sariling kapangyarihan.",50,Mga Kamag-anak ni Elias,"Padre Dámaso, Padre Salví","Ang Katolisismo ang nangingibabaw sa lipunan, ngunit ginagamit nina Padre Dámaso at Padre Salví ang relihiyon para sa sariling kapangyarihan."
Religion,Relihiyon,"Nagkukunwaring deboto si Kapitan Tiyago, nagbabayad ng iba para ipagdasal siya, at lumalapit pa sa pamahiin.",27,Sa Pagtatakipsilim,Kapitan Tiyago,"Nagkukunwaring deboto si Kapitan Tiyago, nagbabayad ng iba para ipagdasal siya, at lumalapit pa sa pamahiin."
Religion,Relihiyon,"Nananatili ang wagas na pananampalataya kina Elías, na nagtitiwala sa Diyos ngunit tumatanggi sa pagkukunwari ng pari.",2,Crisostomo Ibarra,Elías,"Nananatili ang wagas na pananampalataya kina Elías, na nagtitiwala sa Diyos ngunit tumatanggi sa pagkukunwari ng pari."
Religion,Relihiyon,"Nananatili ang wagas na pananampalataya kina Don Rafael, na tumutol sa kumpisal dahil sa prinsipyo.",15,Ang mga Sakristan,Don Rafael,"Nananatili ang wagas na pananampalataya kina Don Rafael, na tumutol sa kumpisal dahil sa prinsipyo."
Religion,Relihiyon,Ang relihiyon ay naipapakita bilang ilaw ng katotohanan at kasangkapan ng kontrol.,50,Mga Kamag-anak ni Elias,unspecified,Ang relihiyon ay naipapakita bilang ilaw ng katotohanan at kasangkapan ng kontrol.
Religion,Relihiyon,"Ginamit din ni Rizal ang mga simbolo tulad ng gabi at bukang-liwayway upang ilarawan ang pananampalataya, pagkukunwari, at pakikibaka ng katotohanan laban sa kasinungalingan.",31,Ang Sermon,Rizal,"Ginamit din ni Rizal ang mga simbolo tulad ng gabi at bukang-liwayway upang ilarawan ang pananampalataya, pagkukunwari, at pakikibaka ng katotohanan laban sa kasinungalingan."
