book_title,chapter_number,chapter_title,sentence_number,sentence_text
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,1,Naglalayag sa ilog Pasig ang Bapor Tabo isang umaga ng Disyembre.
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,2,"Patungo ito sa Laguna at lulan sa ibabaw ng kubyerta sina Don Custodio, Ben Zayb, Donya Victorina, Kapitan Heneral, Padre Irene, Padre Salvi, at Simoun."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,3,"Mataas ang tingin ng mga tao kay Simoun dahil na rin alam nila, lalo na ng mga tao sa Maynila, na naiimpluwensiyahan nito ang Kapitan Heneral."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,4,Dahil sa kabagalan ng bapor habang sila’y naglalakbay ay napag-usapan sa ibabaw ng kubyerta ang pagpapalalim ng ilog Pasig.
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,5,Sa kanilang usapan ay iminungkahi ni Simoun na gumawa ng tuwid na kanal na mag-uugnay sa lawa ng Laguna at sa look ng Maynila.
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,6,Nagkasagutan sila ni Don Custodio na isang opisyal na konsehal at nagbigay ng solusyon na kumbinsihin na lang diumano ang mga tao na mag-alaga ng itik.
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,7,Kinakain daw kasi ng mga itik ang mga suso sa ilog.
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,8,"Sa ganitong paraan, huhukayin daw ng mga tao ang ilog upang may makuhang suso na kanilang ipapakain sa mga alagang itik."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,9,Ngunit hindi nagustuhan ni Donya Victorina ang naturang suhestyon dahil nadidiri siya sa balot.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,1,Pumunta si Simoun sa ilalim ng kubyerta.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,2,Palibhasa’t lahat ng gamit at mga kargamento ay doon din matatagpuan kaya naman masikip sa lugar na iyon para sa mga pasahero.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,3,"Naroon sa ilalim ng kubyerta ang dalawang estudyate na sina Basilio na nag- aaral ng medisina at mahusay nang manggamot, at si Isagani na isang makata at katatapos pa lamang sa Ateneo."
El Filibusterismo,2,Sa Ilalim ng Kubyerta,4,Kausap ng dalawa si Kapitan Basilio kung saan nadaanan ng kanilang pag- uusap si Kapitan Tiyago.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,5,"Pinauwi raw siya, ani Padre Irene na naging tagapayo ng kapitan nitong nga huling araw."
El Filibusterismo,2,Sa Ilalim ng Kubyerta,6,Napunta naman ang usapan sa paaralang balak ng mga estudyante tungkol sa pagtuturo ng mga Kastila.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,7,Ayon kay Kapitan Basilio ay hindi raw ito magtatagumpay.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,8,Tutol naman dito ang dalawang binata.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,9,Maya-maya pa’y lumayo na si Kapitan Basilio.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,10,"Noo’y napag-usapan nila si Paulita Gomez, ang kasintahan ni Isagani na maganda, mayaman at may pinag-aralan na pamangkin ni Donya Victorina."
El Filibusterismo,2,Sa Ilalim ng Kubyerta,11,Ipinahahanap ng Donya kay Isagani ang kanyang asawa na si Don Tiburcio de Espadaña.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,12,"Ito ay nasa bahay pa ni Padre Florentino na amain ng binata, nagtatago."
El Filibusterismo,2,Sa Ilalim ng Kubyerta,13,Ilang sandali pa’y dumating si Simoun at kinausap ng magkabigan.
El Filibusterismo,2,Sa Ilalim ng Kubyerta,14,Agad na ipinakilala ni Basilio kay Simoun si Isagani.
