book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,Ang Pagtitipon,1,Isang malaking pagtitipon ang gaganapin sa bahay ni Don Santiago de los Santos o mas kilala sa tawag na Kapitan Tiago sa Kalye Anluwage upang salubungin ang isang binata na galing Europa.
Noli Me Tangere,1,Ang Pagtitipon,2,Sikat at malaki ang kanyang impluwensya dahil siya ang dating alkade ng kanilang lugar.
Noli Me Tangere,1,Ang Pagtitipon,3,Kilala din ito dahil sa pagiging matulungin sa mga mahihiraP. Mabilis na kumalat ang balita ng pagtitipon sa maraming distrito ng Maynila hanggang sa loob ng Intramuros.
Noli Me Tangere,1,Ang Pagtitipon,4,Pagpasok palang sa bahay ay may sasalubong nang malaking hagdanan na nababalutan ng karpeta.
Noli Me Tangere,1,Ang Pagtitipon,5,Sa ikalawang palapag ay may makikitang mga porselanang Intsik na may iba’t-ibang kulay at disenyo na mas nakatawag ng pansin sa mga bisitang dumalo.
Noli Me Tangere,1,Ang Pagtitipon,6,Mapapakinggan ang magagandang tunog na gawa ng orkestra at mga kalansing ng mga pinggan at kubyertos.
Noli Me Tangere,1,Ang Pagtitipon,7,Sa gitna ng bulwagan ay may mahabang lamesa na kainan na puno ng adorno.
Noli Me Tangere,1,Ang Pagtitipon,8,"Ang dingding ay mga mga relihiyosong likhang sining na pinamagatang Purgatoryo, Impyerno, Huling Paghuhukom, Ang Kamatayan ng Makatarungan at Kamatayan ng Makasalanan."
Noli Me Tangere,1,Ang Pagtitipon,9,"Ang sala ay puno ng mga panauhin, hiwalay ang mga babae sa lalaki na parang nasa simbahan."
Noli Me Tangere,1,Ang Pagtitipon,10,"Si Tiya Isabel, ang pinsan ni Kapitan Tiyago ang siyang naging tagatanggap ng mga panauhin."
Noli Me Tangere,1,Ang Pagtitipon,11,Baluktok siya kung mangastila.
Noli Me Tangere,1,Ang Pagtitipon,12,Nagdatingan pa ang mga panauhin kabilang na ang mag-asawang sina Don Tiburcio de Espadaña at Doña Victorina de Espadaña; Padre Hernando De La Sibyla na siyang kura ng Tanawan; Padre Damaso Vardolagas ang dating kura San Diego; ang dalawang paisano; at si Tinyente Guevarra ang tinyente ng gwardiya sibil.
Noli Me Tangere,1,Ang Pagtitipon,13,Ikinagulat ni Padre Damaso ang dahilan ng pagpunta ng binata.
Noli Me Tangere,1,Ang Pagtitipon,14,"Ang akala niya’y pumunta ang binata sa Pilipinas upang magtrabaho, yun pala ay interesado ang binata sa pag-uugali ng mga katutubong Pilipino."
Noli Me Tangere,1,Ang Pagtitipon,15,Nagkaroon ng kanya kanyang pagpapahayag na nagresulta sa mainit na sagutan sa pagitan ng mga panauhin laban kay Padre Damaso.
Noli Me Tangere,1,Ang Pagtitipon,16,Hindi na napigilan ng pari na mailabas ang kanyang mapanlait na ugali laban sa mga Indio.
Noli Me Tangere,1,Ang Pagtitipon,17,Sinabi din ni Padre Damaso na hindi dapat manghimasok ang hari sa pagpaparusa ng simbahan sa mga erehe.
Noli Me Tangere,1,Ang Pagtitipon,18,"Ngunit ito ay tinutulan ni Tinyente Guevarra, batid niya na may karapatan ang Kapitan Heneral sa pagpaparusa dahil ito ang kinatawan ng hari ng bansa."
Noli Me Tangere,1,Ang Pagtitipon,19,Pinalipat si Padre Damaso sa ibang lugar dahil pinahukay nito ang bangkay ng isang marangal na lalaki na napagkamalang isang erehe dahil sa hindi nito pagkumpisal.
Noli Me Tangere,1,Ang Pagtitipon,20,Iniwan ni Tinyente Guevarra ang umpukan.
Noli Me Tangere,1,Ang Pagtitipon,21,Pinakalma naman ni Padre Sibyla ang galit na galit na si Padre Damaso.
Noli Me Tangere,1,Ang Pagtitipon,22,Kinalaunan ay nagpatuloy na muli ang pagtitipon.
Noli Me Tangere,2,Crisostomo Ibarra,1,Nagulat sina Padre Sibyla at Padre Damaso ng makita nila ang kasamang panauhin ni Kapitan Tiyago.
Noli Me Tangere,2,Crisostomo Ibarra,2,"Siya ang anak ng yumaong kaibigan ni Kapitan Tiago, si Don Crisostomo Ibarra, na galing pang Europa."
Noli Me Tangere,2,Crisostomo Ibarra,3,Siya ay nakabihis ng luksang kasuotan.
Noli Me Tangere,2,Crisostomo Ibarra,4,Makikita sa kaniyang galaw at anyo ang pagiging malusog sa isipan at pangangatawan.
Noli Me Tangere,2,Crisostomo Ibarra,5,Makikita ang bahid ng pagiging banyaga dahil sa kanyang mapupulang pisngi.
Noli Me Tangere,2,Crisostomo Ibarra,6,Nagtangkang kamayan ni Ibarra si Padre Damaso sa pag-aakalang ito ay matalik na kaibigan ng yumaong ama.
Noli Me Tangere,2,Crisostomo Ibarra,7,Ngunit ikinaila ni Padre Damaso na kaibigan nga niya ang ama ni Ibarra.
Noli Me Tangere,2,Crisostomo Ibarra,8,Sandaling tinalikuran ni Ibarra ang pari upang kausapin si Tinyente Guevarra.
Noli Me Tangere,2,Crisostomo Ibarra,9,Masaya ang tinyente dahil sa ligtas na pagdating ni Ibarra.
