English Title,Tagalog Title,Meaning
Hospitality,Pagkamapagpatuloy,"Ipinakita ni Kapitan Tiago ang pagkamapagpatuloy sa marangyang salu-salo sa Kalye Anluwage upang salubungin si Crisostomo Ibarra mula Europa, gamit ang musika, pagkain, at magagarang dekorasyon."
Hospitality,Pagkamapagpatuloy,"Ang paghihiwalay ng mga babae at lalaki sa pagtitipon ay nagpapakita kung paano nakapaloob ang kaugalian ng simbahan sa konsepto ng pagkamapagpatuloy."
Hospitality,Pagkamapagpatuloy,"Ginamit ni Kapitan Tiago ang pagkamapagpatuloy upang mapalapit sa mga prayle at opisyal, isang taktika ng pagkakaroon ng impluwensiya sa lipunan."
Hospitality,Pagkamapagpatuloy,"Sa handaan, ang tinolang inihain kay Padre Damaso ay puro leeg at pakpak, na sumasalamin sa mapanlinlang na anyo ng pagkamapagpatuloy na may halong tensyon."
Hospitality,Pagkamapagpatuloy,"Ang magagarbong porselana, muwebles, at pintura sa bahay ni Kapitan Tiago ay ginamit bilang pagpapakita ng pakitang-taong pagkamapagpatuloy."
Hospitality,Pagkamapagpatuloy,"Sa pagtitipon, ipinakita ang kabutihang-loob sa mga panauhin ngunit may halong layunin na makuha ang pabor ng simbahan at pamahalaan."
Hospitality,Pagkamapagpatuloy,"Ang musika ng orkestra at magagarang damit ng mga panauhin ay naging bahagi ng kolonyal na pamantayan ng pagkamapagpatuloy."
Hospitality,Pagkamapagpatuloy,"Ang pagbati at pag-aasikaso ng mga tauhan ni Kapitan Tiago sa mga bisita ay nagpakita ng anyo ng mainit na pagtanggap."
Hospitality,Pagkamapagpatuloy,"Ang pag-imbita sa mga tanyag na bisita ay ginamit na estratehiya upang mapanatili ang mataas na reputasyon ng pamilya."
Hospitality,Pagkamapagpatuloy,"Ang salu-salo ay hindi lamang simpleng pagtanggap kundi simbolo ng ambisyong makaangat sa lipunan gamit ang anyo ng pagkamapagpatuloy."
Religion,Relihiyon,"Sa Noli Me Tangere, ang relihiyon ay ipinakita bilang haligi ng lipunan ngunit ginamit ng mga pari tulad nina Padre Damaso at Padre Salvi bilang kasangkapan ng kapangyarihan."
Religion,Relihiyon,"Si Kapitan Tiago ay nagkukunwaring deboto, nagbibigay ng abuloy at misa upang mapalapit sa simbahan ngunit hindi tunay na nagsasagawa ng pananampalataya."
Religion,Relihiyon,"Ipinagbawal ng mga prayle ang malayang edukasyon, gamit ang relihiyon upang pigilan ang kaalaman ng mga Pilipino."
