English Title,Tagalog Title,Meaning
Greed,Kasakiman,"Ipinapakita ng nobela na ang kolonyal na pamamahala ay nakasandig sa kasakiman—mula sa pari hanggang opisyal na inuuna ang sariling bulsa kaysa tungkulin. Ginamit ni Simoun ang kanyang yaman upang manipulahin ang Kapitan Heneral, ngunit siya man ay nilamon ng kapangyarihan; ang pag-itapon ni Padre Florentino sa kayamanan sa dagat ay pagtakwil sa kasakiman."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Pinalalaganap ng mga Kastila ang kultura ng pagtalima—‘sumunod at magbayad’—upang manatiling masunurin ang mga Pilipino. Ngunit ang paulit-ulit na pang-aapi kina Tales, Placido, at Basilio ay nagtulak sa hangganan; isinusulong ni Isagani ang pakikitungong pantay, sumisilang sa bagong salinlahing handang lumaban sa alamat ng sariling kababaan."
Injustice and Justice,Kawalang-Katarungan at Katarungan,"Talamak ang katiwalian at pang-aabuso: panig ng hukuman sa mga prayle, pabaya ang Bantay Sibil, at dinarakip ang mga inosente tulad ni Basilio. Dahil sarado ang daan sa hustisya, napipilitang kumilos si Tales sa sarili upang bawiin ang dangal; magkakaiba man ang landas nina Isagani, Simoun, at Padre Florentino, iisa ang mithiin nilang katarungan."
Religion,Relihiyon,"Nangingibabaw ang Simbahang Katolika sa politika, edukasyon, at yaman, at ginagamit ng ilang pari—gaya nina Salvi at Camorra—ang kapangyarihan para sa pagsasamantala. Namumukod-tangi sina Padre Fernandez at Padre Florentino bilang huwarang espirituwal na pamumuno; nananawagan sila sa kabataan na iligtas ang bayan mula sa kasamaan."
Education,Edukasyon,"Mahigpit na kontrolado ng simbahan ang edukasyon, na ginagawang kasangkapan ng pagpapasakop sa halip na paglaya ng isipan. Nagsusulong ang mga estudyante ng paaralang Kastila para sa higit na pagkakataon, ngunit isiniwalat ni Isagani ang kabiguan ng simbahan na magbigay ng makabuluhang edukasyon."
Colonialism,Kolonyalismo,"Pinatitibay ng simbahan at pamahalaan ang kaayusang kolonyal na nakasalalay sa paniniwalang nakatataas ang Kastila at dapat pasalamatan sila. Tinatanggap ng ilan ang reporma mula sa loob (Isagani), ngunit para kay Simoun, bulok ang sistema at kinakailangan ang pakikibaka para sa kalayaan."
Racism,Rasismo,"Nakasandig ang lipunan sa puting kataas-taasan: hawak ng mga Kastila at mestiso ang kapangyarihan habang minamaliit ang indio. Makatarungan man ang wika ng ilan, nananatiling paternalistiko ang pagtingin—gaya ni Don Custodio—na ipinipilit na sila ang nagdudulot ng ‘sibilisasyon.’"
Colonialism and Identity,Kolonyalismo at Pagkakakilanlan,"Nagbubuo ang kolonyalismong karanasan ng magkasanib na pambansang identidad kahit sinusupil ang pagkakaisa. Ang laban para sa akademyang Kastila ay paraan upang likhain ang pagkakaisang Filipino na lampas sa pagkakahating lahi at katayuan."
Violence vs. Nonviolence,Karahasan laban sa Di-Karahasan,"Ipinagtutunggali ng nobela ang marahas na rebolusyon ni Simoun at ang mapayapang pagsulong ng mga estudyante. Sa huli, kapwa dinurog ng panunupil, na nagpapakitang ang karahasan ay bunga ng mapaniil na estado at hindi sapat na solusyon sa makatarungang pamumuhay."
Education and Freedom,Edukasyon at Kalayaan,"Itinatali ng mga awtoridad ang edukasyon upang pigilan ang kalayaan; ginagawang palabas ang pagkatuto at minamaliit ang tunay na pag-usisa. Nais ng grupo ni Isagani ang malayang akademya bilang landas sa pagpapalakas ng lipunang sibil at pagkuha ng kapangyarihang politikal."
Hypocrisy and Colonial Oppression,Ipokrasya at Pang-aaping Kolonyal,"Ibinubunyag ng nobela ang pagkukunwari ng elit kolonyal: mga ‘reformistang’ uhaw sa kapangyarihan, at mga prayleng lumalabag sa sariling panata habang inaapi ang indio. Ang ganitong ipokrasya ang pinakamalinaw na ebidensiya ng likas na kawalang-katarungan ng sistemang kolonyal."
Greed,Kasakiman,"Ipinakita ang kasakiman sa mga prayle at opisyal na inuuna ang sariling kapakanan kaysa tungkulin. Ang kanilang pagnanasa sa salapi ay nagpapahirap sa mga Pilipino sa pamamagitan ng buwis at pang-aabuso."
Greed,Kasakiman,"Sa pagkatao ni Simoun, makikita ang kasakiman bilang sandata at sumpa—ginamit niya ang kayamanan upang manipulahin ang makapangyarihan, ngunit siya rin ang naging biktima ng sarili niyang hangarin."
Greed,Kasakiman,"Ginamit ni Rizal ang kasakiman upang ilantad ang bulok na sistema ng pamahalaang kolonyal, kung saan ang yaman at suhol ang nagtatakda ng hustisya at karapatan ng tao."
Greed,Kasakiman,"Ang kasakiman ng simbahan ay makikita sa labis na paniningil sa lupa ni Tales at sa pagpapanggap ng kabanalan upang mapanatili ang kapangyarihan at karangyaan."
Greed,Kasakiman,"Sa pagtatapon ni Padre Florentino ng kayamanan sa dagat, ipinakita ang pagtakwil sa kasakiman bilang ugat ng kasamaan at pagdurusa ng bayan."
Greed,Kasakiman,"Ang kasakiman ay nagdulot ng katiwalian sa lipunan, kung saan maging ang mga nasa simbahan ay ginamit ang pananampalataya bilang kalasag upang itago ang kanilang pagnanasa sa yaman."
Greed,Kasakiman,"Sa pamumuno ng mga Kastila, naging normal ang suhol at pandaraya bilang paraan upang makamit ang pabor, nagpapakita ng sistematikong kasakiman sa bawat antas ng lipunan."
Greed,Kasakiman,"Ang pagnanais ng mga pinuno ng simbahan at pamahalaan na magkamal ng salapi ay sumira sa moralidad ng bayan at nagtulak sa mga Pilipinong mawalan ng tiwala sa katarungan."
Greed,Kasakiman,"Ang kasakiman ay naging sanhi ng pagkawasak ng mga pamilya, gaya ng kay Tales na nawalan ng lupa dahil sa mapang-abusong paniningil ng mga prayle."
Greed,Kasakiman,"Sa kabiguan ni Simoun na gamitin ang yaman para sa tunay na kabutihan, ipinakita ni Rizal na ang kasakiman ay hadlang sa paglaya at pagbabago ng bayan."
Greed,Kasakiman,"Ipinakita sa nobela na ang kasakiman ay hindi lamang tungkol sa pera kundi sa labis na pagnanais sa kapangyarihan, na nagiging ugat ng panlilinlang at pang-aalipin."
Greed,Kasakiman,"Ang mga opisyal na Kastila ay nagpapanggap na makadiyos ngunit ginagamit ang relihiyon bilang paraan upang palawakin ang kanilang kayamanan at impluwensiya."
Greed,Kasakiman,"Ang kayamanan ni Simoun ay simbolo ng kasakiman na nagiging sandata ng paghihiganti; sa halip na magpalaya, ito’y nagdala ng higit na pagdurusa."
Greed,Kasakiman,"Sa lipunang pinamumunuan ng mga gahaman, nawawala ang halaga ng katarungan at dangal, sapagkat lahat ay nabibili ng salapi at kapangyarihan."
Greed,Kasakiman,"Ang kasakiman ay nagpapakita ng paulit-ulit na siklo ng katiwalian—mula sa mga prayle hanggang sa mga pinunong Pilipino—na parehong nahulog sa tukso ng yaman at impluwensiya."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ipinakita sa nobela ang paghahati ng mga Pilipino sa pagitan ng pagsunod at paglaban; ang ilan ay nanatiling sunod sa batas ng mga Kastila, samantalang ang iba tulad ni Tales ay lumaban para sa dangal at katarungan."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Si Simoun ay sumasagisag sa matinding pagnanais na maghimagsik matapos makita ang kabiguan ng mapayapang paraan upang makamit ang kalayaan."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ang mga tauhan tulad nina Placido at Basilio ay unang sumunod sa sistema, ngunit sa kalaunan ay nagising sa katotohanan ng pang-aapi at napilitang lumaban."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ginamit ni Rizal ang tensyon sa pagitan ng pagpapasakop at pag-aaklas upang ipakita ang pagbangon ng kamalayang Pilipino laban sa mahabang panahon ng kolonyal na pagtalima."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ipinakita sa kabataan, lalo na kay Isagani, ang bagong henerasyong hindi natatakot magsalita at kumilos laban sa maling pamamahala ng mga Kastila."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ang mga Kastila ay gumagamit ng relihiyon at edukasyon upang itanim ang pagtalima, ngunit unti-unting nagising ang mga Pilipino sa mapanlinlang na sistemang ito."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ang pagpapasakop ay naging paraan ng pamumuhay para sa ilan, ngunit sa ilalim ng matinding pang-aapi, ang katahimikan ay napalitan ng galit at paghihiganti."
Submission and Rebellion,Pagpapasakop at Pag-aaklas,"Ipinakita ng nobela na ang labis na pagpapasakop ay nagiging sanhi ng pagkawala ng dangal, samantalang ang pag-aaklas ay bunga ng pagnanais na muling mabawi ito."
