book_title,deep_word,modern_word,english_equivalent
El Filibusterismo,Garote,,bitayan
El Filibusterismo,Kubyerta,,bahagi
El Filibusterismo,Pagpugay,paggahasa,pag-rape
El Filibusterismo,Pagtutsada,,pagmumura
El Filibusterismo,Panukala,mungkahi,balakin
El Filibusterismo,Paring regular,uri ng pari,kasama sa orden o korporasyon
El Filibusterismo,Paring sekular,uri ng pari,karaniwa’y Pilipino na walang kinasasapiang
El Filibusterismo,Tandisan,tuwiran,harapan
El Filibusterismo,Tikin,,mahabang
El Filibusterismo,Uldog,pari,prayle
El Filibusterismo,Alintana,,iniinda
El Filibusterismo,Makihalubilo,,makisama
El Filibusterismo,Namula,,napahiya
El Filibusterismo,Paurong,,paatras
El Filibusterismo,Pinagpupugayan,,ibinabalik
El Filibusterismo,Sagabal,,hadlang
El Filibusterismo,Sumabat,,sumingit
El Filibusterismo,Sumugat,,nakasakit
El Filibusterismo,Tutulan,,tatangihan
El Filibusterismo,Umiral,,namayani
El Filibusterismo,Baging,,halamang
El Filibusterismo,Bangketa,,handaan
El Filibusterismo,Muog,,pader
El Filibusterismo,Sinisiyab,,binabangga
El Filibusterismo,Taripa,,buwis
El Filibusterismo,Buwis,tungkulin;,
El Filibusterismo,Gulok,isang,
El Filibusterismo,Kabesa de Barangay,,pinuno
El Filibusterismo,Manilbihan,,maglingkod
El Filibusterismo,Naidlip,,nakatulog
El Filibusterismo,Nilinang,,tinamnan
El Filibusterismo,Pag-asenso,pag-unlad,
El Filibusterismo,Palayok,isang,
El Filibusterismo,Pusod,,gitna
El Filibusterismo,Sinamsam,,kinuha
El Filibusterismo,Tulisan,,taong
El Filibusterismo,Ipipiit,,ikukulong
El Filibusterismo,Karumata,,kalesa
El Filibusterismo,Kinulata,hinampas;,
El Filibusterismo,Kutsero,,taong
El Filibusterismo,Natubigan,,natigilan
El Filibusterismo,Pitagan,,paggalang
El Filibusterismo,Sambalilo,,sumbrero
El Filibusterismo,Takba,,tampipi
El Filibusterismo,Aprobado,,mainam
El Filibusterismo,Bunton,,tambak
El Filibusterismo,Dalamhati,,paghihirap
El Filibusterismo,Dupikal,sunod-sunod,
El Filibusterismo,Gatol,,hindi
El Filibusterismo,Naaninag,,makita
El Filibusterismo,Nauliningan,,narinig
El Filibusterismo,Pagsisiga,,pagsusunog
El Filibusterismo,Primer ano,,unang
El Filibusterismo,Sable,,espada
El Filibusterismo,Sipilis,,isang
El Filibusterismo,Sobresaliente,,pinakamataas
El Filibusterismo,Tanyag,,Sikat
El Filibusterismo,Tari,,sandata
El Filibusterismo,Tinalunton,,hinarap
El Filibusterismo,Agam-agam,,alinlangan
El Filibusterismo,Alatiit,,tunog
El Filibusterismo,Asarol,,kagamitang
El Filibusterismo,Dumanak,,dumaloy
El Filibusterismo,Kasagwaan,,kapangitan
El Filibusterismo,Lihis,,salungat
El Filibusterismo,Magpakita,,lumantad
El Filibusterismo,Mulala,tanga;,
El Filibusterismo,Mulato,,mestisang
El Filibusterismo,Nagkikibit-balikat,nagwawalang-bahala,
El Filibusterismo,Natigatig,natinag;,
El Filibusterismo,Paghahabol,,pagtugis
El Filibusterismo,Rebolber,,maikling
El Filibusterismo,Alatiit,,pigil
El Filibusterismo,Ingkong,,lolo
El Filibusterismo,Ketong,sakit,
El Filibusterismo,Nakapinid,,nakasara
El Filibusterismo,Nananagis,,umiyak
El Filibusterismo,Salabat,paboritong,
El Filibusterismo,Sinunong,,ipinatong
El Filibusterismo,Tampipi,,sisidlan
El Filibusterismo,Mabubulid,,mahuhulog
El Filibusterismo,Matutudla,,tatamaan
El Filibusterismo,Nabalisa,nag-alala;,
El Filibusterismo,Nagkibit,balikat,
El Filibusterismo,Paglusob,,pagsalakay
El Filibusterismo,Pagsanggalang,,pagtatanggol
El Filibusterismo,Sumasalungat,,tumututol
El Filibusterismo,Indulgencia,,utang
El Filibusterismo,Karalitaan,kahirapan;,
El Filibusterismo,Kayamanan,pag-aari;,
El Filibusterismo,Lantay,,tunay
El Filibusterismo,Lugmok,,nakalubog
El Filibusterismo,Mahalughog,halungkatin;,
El Filibusterismo,Nagdarahop,,naghihirap
El Filibusterismo,Namamalikmata,di-makapaniwala,
El Filibusterismo,Narahuyong,,naakit
El Filibusterismo,Niyurakan,,sinira
El Filibusterismo,Panggigilalas,,pagkagulat
El Filibusterismo,Umaalipusta,,nanglalait
El Filibusterismo,Apyan,,opyo
El Filibusterismo,Armas de salon,,sandatang
El Filibusterismo,Dumagok,,suntukin
El Filibusterismo,Kagyat,kaagad-agad,
El Filibusterismo,Katigan,sang-ayunan,
El Filibusterismo,Masinsinan,seryosong,
El Filibusterismo,Masusugpo,,mapipigil
El Filibusterismo,Mulato,,tao
El Filibusterismo,Nakayungyong,,nagbibigay
El Filibusterismo,Pag-aalipusta,,paghamak
El Filibusterismo,Pag-aalsa,,paghihimagsik
El Filibusterismo,Pangangamkam,,pagkuha
El Filibusterismo,Punglo,,bala
El Filibusterismo,Rebolber,,uri
El Filibusterismo,Tresilyo,,sugal
El Filibusterismo,Tulisan,rebelde;,
El Filibusterismo,Bulastog,,mayabang
El Filibusterismo,Dia-pichido,,ipit
El Filibusterismo,Loob ng Maynila na namoogan,,Intramuros
El Filibusterismo,Mangilak,,manghingi
