book_title,deep_word,modern_word,english_equivalent
El Filibusterismo,Garote,bitayan,gallows
El Filibusterismo,Kubyerta,bahagi,bahagi
El Filibusterismo,Pagpugay,"paggahasa,",word
El Filibusterismo,Pagtutsada,pagmumura,pagmumura
El Filibusterismo,Panukala,"mungkahi,",word
El Filibusterismo,Paring regular,uri,uri
El Filibusterismo,Paring sekular,uri,uri
El Filibusterismo,Tandisan,"tuwiran,",word
El Filibusterismo,Tikin,mahabang,mahabang
El Filibusterismo,Uldog,"pari,",word
El Filibusterismo,Alintana,iniinda,iniinda
El Filibusterismo,Makihalubilo,makisama,makisama
El Filibusterismo,Namula,napahiya,napahiya
El Filibusterismo,Paurong,paatras,paatras
El Filibusterismo,Pinagpupugayan,ibinabalik,ibinabalik
El Filibusterismo,Sagabal,hadlang,hadlang
El Filibusterismo,Sumabat,sumingit,sumingit
El Filibusterismo,Sumugat,nakasakit,nakasakit
El Filibusterismo,Tutulan,tatangihan,tatangihan
El Filibusterismo,Umiral,namayani,namayani
El Filibusterismo,Baging,halamang,halamang
El Filibusterismo,Bangketa,handaan,handaan
El Filibusterismo,Muog,pader,pader
El Filibusterismo,Sinisiyab,binabangga,binabangga
El Filibusterismo,Taripa,buwis,buwis
El Filibusterismo,Buwis,tungkulin;,word
El Filibusterismo,Gulok,isang,isang
El Filibusterismo,Kabesa de Barangay,pinuno,pinuno
El Filibusterismo,Manilbihan,maglingkod,maglingkod
El Filibusterismo,Naidlip,nakatulog,nakatulog
El Filibusterismo,Nilinang,tinamnan,tinamnan
El Filibusterismo,Pag-asenso,pag-unlad,word
El Filibusterismo,Palayok,isang,isang
El Filibusterismo,Pusod,gitna,gitna
El Filibusterismo,Sinamsam,kinuha,kinuha
El Filibusterismo,Tulisan,taong,person
El Filibusterismo,Ipipiit,ikukulong,ikukulong
El Filibusterismo,Karumata,kalesa,kalesa
El Filibusterismo,Kinulata,hinampas;,word
El Filibusterismo,Kutsero,taong,person
El Filibusterismo,Natubigan,natigilan,natigilan
El Filibusterismo,Pitagan,paggalang,paggalang
