book_title,deep_word,modern_word,english_equivalent
Noli Me Tangere,Alkalde,mayor,
Noli Me Tangere,Porselana,magandang kutis,
Noli Me Tangere,Kalansing,tunog,
Noli Me Tangere,Kubyertos,gamit sa pagkain,
Noli Me Tangere,Bulwagan,gusaling pinagtatanghalan,
Noli Me Tangere,Adorno,palamuti,
Noli Me Tangere,Kura,pari,
Noli Me Tangere,Paisano,katulong,
Noli Me Tangere,Erehe,taong di sumasangayon,
Noli Me Tangere,Batid,alam,
Noli Me Tangere,Yumao,pumanaw,
Noli Me Tangere,Luksa,pagdadamdam,
Noli Me Tangere,Banyaga,dayuhan,
Noli Me Tangere,Tinyente,sundalo,
Noli Me Tangere,Kinahatnan,kinalabasan,
Noli Me Tangere,Nilisan,umalis,
Noli Me Tangere,Bulwagan,gusaling pinagtatanghalan,
Noli Me Tangere,Hiyas,mamahaling kayamanan,
Noli Me Tangere,Talakayan,usapan,
Noli Me Tangere,Tinyente,sundalo,
Noli Me Tangere,Kabisera,punong lungsod,
Noli Me Tangere,Sentro,gitna,
Noli Me Tangere,Kumpesor,taga -gawa,
Noli Me Tangere,Kura,pari,
Noli Me Tangere,Kinahantungan,kinalabasan,
Noli Me Tangere,Telegrama,sulat,
Noli Me Tangere,Makalanghap,makaamoy,
Noli Me Tangere,Tinyente,sundalo,
Noli Me Tangere,Kwartel,tirahan,
Noli Me Tangere,Inakusahan,pinagbintangan,
Noli Me Tangere,Nangungumpisal,nagpatotoo,
Noli Me Tangere,Artilyero,namamahala sa mga gamit sa gyera,
Noli Me Tangere,Tampulan,tuksuhin,
Noli Me Tangere,Kamangmangan,walang alam,
Noli Me Tangere,Dunung-dunungan,nagpapanggap na marunong,
Noli Me Tangere,Paslit,bata,
Noli Me Tangere,Umitsa,bumato,
Noli Me Tangere,Erehe,taong di sumasangayon,
Noli Me Tangere,Pilibustero,suwail,
Noli Me Tangere,Huwad,sinungaling,
Noli Me Tangere,Rehas,kulungan,
Noli Me Tangere,Tinutuluyan,tinitirahan,
Noli Me Tangere,Nagmasid-masid,tumingin tingin,
Noli Me Tangere,Natanaw,nakita,
Noli Me Tangere,Kalansing,tunog,
Noli Me Tangere,Kubyertos,kutsara,
Noli Me Tangere,Balingkinitan,payat,
Noli Me Tangere,Nahimlay,nahiga,
Noli Me Tangere,Relihiyoso,banal,
Noli Me Tangere,Abuloy,pagbibigay,
Noli Me Tangere,Gumagasta,gumagastos,
Noli Me Tangere,Bulto-bulto,madami,
Noli Me Tangere,Alkalde,mayor,
Noli Me Tangere,Piskal,dumudulog,
Noli Me Tangere,Ganid,mapanglamang,
Noli Me Tangere,Dominiko,prayle,pari
Noli Me Tangere,Musmos,bata,
Noli Me Tangere,Maselan,sensitibo,
Noli Me Tangere,Adorno,palamuti,
Noli Me Tangere,Siwang,maliit na butas,
Noli Me Tangere,Beateryo,tinitirhan ng mga madre,
Noli Me Tangere,Karwahe,sasakyang hilahila ng kabayo,
Noli Me Tangere,Asotea,balkonahe o gilid ng bahay,
Noli Me Tangere,Masinsinan,seryoso,
Noli Me Tangere,Sinariwa,inalala,
Noli Me Tangere,Magtirik,maglagay,
Noli Me Tangere,Bandido,tulisan,gumagawa ng masama
Noli Me Tangere,Kagalakan,kasiyahan,
Noli Me Tangere,Karwahe,sasakyan na hilahila ng kabayo,
Noli Me Tangere,Kareta,kariton,
Noli Me Tangere,Baku-bako,sira sira,
Noli Me Tangere,Lumalatay,bumabakat,
Noli Me Tangere,Naparam,naglaho,
Noli Me Tangere,Marikit,maganda,
Noli Me Tangere,Kamangmangan,walang alam,
Noli Me Tangere,Beateryo,tinitirahan ng mga madre,
Noli Me Tangere,Masinsinan,seryoso,
Noli Me Tangere,Kumbento,simbahan,
Noli Me Tangere,Paratang,bintang,
Noli Me Tangere,Nagpahayag,nagsabi,
Noli Me Tangere,Kampanaryo,kampana,
Noli Me Tangere,Nakahimlay,nakalibing,
Noli Me Tangere,Luntian,berde,
Noli Me Tangere,Umuugoy,dumuduyan,
Noli Me Tangere,Umalingasaw,umaamoy,
Noli Me Tangere,Masigasig,masipag,
Noli Me Tangere,Manilenya,babaeng taga maynila,
Noli Me Tangere,Giliw na giliw,sayang saya,
Noli Me Tangere,Alkalde,mayor,
Noli Me Tangere,Kura paroko,pinakamataas na pari sa simbahan,
Noli Me Tangere,Alperes,opisyal ng militar,
Noli Me Tangere,Hidwaan,pagaaway,
Noli Me Tangere,Malawak,malaki,
Noli Me Tangere,Masukal,madamo,
Noli Me Tangere,Dalubhasa,magaling,
Noli Me Tangere,Sepulturero,nagtatrabaho sa sementeryo,
Noli Me Tangere,Nitso,libingan,
Noli Me Tangere,Puntod,katawan ng namatay,
Noli Me Tangere,Sepulturero,nagtatrabaho sa sementeryo,
Noli Me Tangere,Matanaw,makita,
Noli Me Tangere,Nanlilisik,nagagalit,
Noli Me Tangere,Pilosopo,nag-uusisa,matalinong tao
Noli Me Tangere,Pananaw,paniniwala,
Noli Me Tangere,Kabiyak,asawa,
Noli Me Tangere,Inatupag,inasikaso,
Noli Me Tangere,Sinapit,dinanas,
Noli Me Tangere,Naengganyo,naaya o nahikayat,
Noli Me Tangere,Napabayaan,naiwan,
Noli Me Tangere,Nagbabadya,nagbabanta,
Noli Me Tangere,Lilipol,sisira,
Noli Me Tangere,Sanlibutan,mundo,
Noli Me Tangere,Mungkahi,opinyon,
Noli Me Tangere,Purgatoryo,Dito nananatili ang mga taong namatay na at hindi pa kinukuha ng langit,
Noli Me Tangere,Talakayan,usapan,
Noli Me Tangere,Nakabuntot,nakasunod,
Noli Me Tangere,Ibinibintang,isinisisi,
Noli Me Tangere,Aginaldo,bigay o kaloob,
Noli Me Tangere,Kaluskos,mahinang tunog,
Noli Me Tangere,Kinaladkad,hinila,
Noli Me Tangere,Pumanhik,umakyat o sumampa,
Noli Me Tangere,Lulong,adik,
Noli Me Tangere,Maidulot,hatid,
Noli Me Tangere,Di inaasahan,hindi hinahangad,
Noli Me Tangere,Nilamon,kinain,
Noli Me Tangere,Nanlumo,labis na nalungkot,nanghina
Noli Me Tangere,Tumambad,bumungad,bumulaga
Noli Me Tangere,Ikinabahala,ipinag-alala,
Noli Me Tangere,Humagulgol,umiyak,
Noli Me Tangere,Isinalaysay,ikinuwento,
Noli Me Tangere,Nagdaos,nagsagawa,
Noli Me Tangere,Yumao,pumanaw,
Noli Me Tangere,Lisanin,umalis,
Noli Me Tangere,Kaabalahan,maraming ginagawa,
Noli Me Tangere,Ususera,chismosa,chismoso
Noli Me Tangere,Nagmasid-masid,tumitingin-tingin,
Noli Me Tangere,Kinahinatnan,kinahantungan,
Noli Me Tangere,Balakid,sagabal,
Noli Me Tangere,Pananaw,pagkakaunawa,
Noli Me Tangere,Manghihimasok,pakikialam,
Noli Me Tangere,Bulwagan,silid,
Noli Me Tangere,Alkalde,mayor,
Noli Me Tangere,Dinadaluhan,pinupuntahan,
Noli Me Tangere,Pinamumunuan,pinamamahalaan,
Noli Me Tangere,Iminungkahi,ipinahayag,
Noli Me Tangere,Talaan,sulatan,
Noli Me Tangere,Isasakatuparan,ipapatupad,
Noli Me Tangere,Komedya,nagpapatawa,
Noli Me Tangere,Tinutulan,inayawan,
Noli Me Tangere,Kabesa,pinuno,kapitan
Noli Me Tangere,Panukala,suhestyon,
Noli Me Tangere,Tuliro,naguguluhan,nalilito
Noli Me Tangere,Dampa,bahay na maliit,
Noli Me Tangere,Nagmakaawa,nakiusap,
Noli Me Tangere,Piitan,kulungan,
Noli Me Tangere,Pagdaramdam,pagkalungkot,
Noli Me Tangere,Karwahe,sasakyang hilahila ng kabayo,
Noli Me Tangere,Sinang-ayunan,pumayag,
Noli Me Tangere,Pakikitungo,pakikisama,
Noli Me Tangere,Titiyakin,sisiguraduhin,
Noli Me Tangere,Inimbitahan,inanyayahan,
Noli Me Tangere,Kawaksi,kasangga o kaanib,
Noli Me Tangere,Paglalakbay,paglalakad,
Noli Me Tangere,Kundiman,uri ng kanta,
Noli Me Tangere,Pagsulpot,biglang paglabas,
