book_title,deep_word,modern_word,english_equivalent
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Porselana,,magandang
Noli Me Tangere,Kalansing,,tunog
Noli Me Tangere,Kubyertos,,gamit
Noli Me Tangere,Bulwagan,,gusaling
Noli Me Tangere,Adorno,,palamuti
Noli Me Tangere,Kura,,pari
Noli Me Tangere,Paisano,,katulong
Noli Me Tangere,Erehe,,taong
Noli Me Tangere,Batid,,alam
Noli Me Tangere,Yumao,,pumanaw
Noli Me Tangere,Luksa,,pagdadamdam
Noli Me Tangere,Banyaga,,dayuhan
Noli Me Tangere,Tinyente,,sundalo
Noli Me Tangere,Kinahatnan,,kinalabasan
Noli Me Tangere,Nilisan,,umalis
Noli Me Tangere,Bulwagan,,gusaling
Noli Me Tangere,Hiyas,,mamahaling
Noli Me Tangere,Talakayan,,usapan
Noli Me Tangere,Tinyente,,sundalo
Noli Me Tangere,Kabisera,,punong
Noli Me Tangere,Sentro,,gitna
Noli Me Tangere,Kumpesor,taga,
Noli Me Tangere,Kura,,pari
Noli Me Tangere,Kinahantungan,,kinalabasan
Noli Me Tangere,Telegrama,,sulat
Noli Me Tangere,Makalanghap,,makaamoy
Noli Me Tangere,Tinyente,,sundalo
Noli Me Tangere,Kwartel,,tirahan
Noli Me Tangere,Inakusahan,,pinagbintangan
Noli Me Tangere,Nangungumpisal,,nagpatotoo
Noli Me Tangere,Artilyero,,namamahala
Noli Me Tangere,Tampulan,,tuksuhin
Noli Me Tangere,Kamangmangan,,walang
Noli Me Tangere,Dunung-dunungan,,nagpapanggap
Noli Me Tangere,Paslit,,bata
Noli Me Tangere,Umitsa,,bumato
Noli Me Tangere,Erehe,,taong
Noli Me Tangere,Pilibustero,,suwail
Noli Me Tangere,Huwad,,sinungaling
Noli Me Tangere,Rehas,,kulungan
Noli Me Tangere,Tinutuluyan,,tinitirahan
Noli Me Tangere,Nagmasid-masid,,tumingin
Noli Me Tangere,Natanaw,,nakita
Noli Me Tangere,Kalansing,,tunog
Noli Me Tangere,Kubyertos,,kutsara
Noli Me Tangere,Balingkinitan,,payat
Noli Me Tangere,Nahimlay,,nahiga
Noli Me Tangere,Relihiyoso,,banal
Noli Me Tangere,Abuloy,,pagbibigay
Noli Me Tangere,Gumagasta,,gumagastos
Noli Me Tangere,Bulto-bulto,,madami
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Piskal,,dumudulog
Noli Me Tangere,Ganid,,mapanglamang
Noli Me Tangere,Dominiko,prayle,pari
Noli Me Tangere,Musmos,,bata
Noli Me Tangere,Maselan,,sensitibo
Noli Me Tangere,Adorno,,palamuti
Noli Me Tangere,Siwang,,maliit
Noli Me Tangere,Beateryo,,tinitirhan
Noli Me Tangere,Karwahe,,sasakyang
Noli Me Tangere,Asotea,,balkonahe
Noli Me Tangere,Masinsinan,,seryoso
Noli Me Tangere,Sinariwa,,inalala
Noli Me Tangere,Magtirik,,maglagay
Noli Me Tangere,Bandido,tulisan,gumagawa ng masama
Noli Me Tangere,Kagalakan,,kasiyahan
Noli Me Tangere,Karwahe,,sasakyan
Noli Me Tangere,Kareta,,kariton
Noli Me Tangere,Baku-bako,,sira
Noli Me Tangere,Lumalatay,,bumabakat
Noli Me Tangere,Naparam,,naglaho
Noli Me Tangere,Marikit,,maganda
Noli Me Tangere,Kamangmangan,,walang
Noli Me Tangere,Beateryo,,tinitirahan
Noli Me Tangere,Masinsinan,,seryoso
Noli Me Tangere,Kumbento,,simbahan
Noli Me Tangere,Paratang,,bintang
Noli Me Tangere,Nagpahayag,,nagsabi
Noli Me Tangere,Kampanaryo,,kampana
Noli Me Tangere,Nakahimlay,,nakalibing
Noli Me Tangere,Luntian,,berde
Noli Me Tangere,Umuugoy,,dumuduyan
Noli Me Tangere,Umalingasaw,,umaamoy
Noli Me Tangere,Masigasig,,masipag
Noli Me Tangere,Manilenya,,babaeng
Noli Me Tangere,Giliw na giliw,,sayang
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Kura paroko,,pinakamataas
Noli Me Tangere,Alperes,,opisyal
Noli Me Tangere,Hidwaan,,pagaaway
Noli Me Tangere,Malawak,,malaki
Noli Me Tangere,Masukal,,madamo
Noli Me Tangere,Dalubhasa,,magaling
Noli Me Tangere,Sepulturero,,nagtatrabaho
Noli Me Tangere,Nitso,,libingan
Noli Me Tangere,Puntod,,katawan
Noli Me Tangere,Sepulturero,,nagtatrabaho
Noli Me Tangere,Matanaw,,makita
Noli Me Tangere,Nanlilisik,,nagagalit
Noli Me Tangere,Pilosopo,nag-uusisa,matalinong tao
Noli Me Tangere,Pananaw,,paniniwala
Noli Me Tangere,Kabiyak,,asawa
Noli Me Tangere,Inatupag,,inasikaso
Noli Me Tangere,Sinapit,,dinanas
Noli Me Tangere,Naengganyo,,naaya
Noli Me Tangere,Napabayaan,,naiwan
Noli Me Tangere,Nagbabadya,,nagbabanta
Noli Me Tangere,Lilipol,,sisira
Noli Me Tangere,Sanlibutan,,mundo
Noli Me Tangere,Mungkahi,,opinyon
Noli Me Tangere,Purgatoryo,,Dito
Noli Me Tangere,Talakayan,,usapan
Noli Me Tangere,Nakabuntot,,nakasunod
Noli Me Tangere,Ibinibintang,,isinisisi
Noli Me Tangere,Aginaldo,,bigay
Noli Me Tangere,Kaluskos,,mahinang
Noli Me Tangere,Kinaladkad,,hinila
Noli Me Tangere,Pumanhik,,umakyat
Noli Me Tangere,Lulong,,adik
Noli Me Tangere,Maidulot,,hatid
Noli Me Tangere,Di inaasahan,,hindi
Noli Me Tangere,Nilamon,,kinain
Noli Me Tangere,Nanlumo,labis na nalungkot,nawalan ng pag-asa
Noli Me Tangere,Tumambad,bumungad,bumulaga
Noli Me Tangere,Ikinabahala,ipinag-alala,
Noli Me Tangere,Humagulgol,,umiyak
Noli Me Tangere,Isinalaysay,,ikinuwento
Noli Me Tangere,Nagdaos,,nagsagawa
Noli Me Tangere,Yumao,,pumanaw
Noli Me Tangere,Lisanin,,umalis
Noli Me Tangere,Kaabalahan,,maraming
Noli Me Tangere,Ususera,chismosa,chismoso
Noli Me Tangere,Nagmasid-masid,tumitingin-tingin,
Noli Me Tangere,Kinahinatnan,,kinahantungan
Noli Me Tangere,Balakid,,sagabal
Noli Me Tangere,Pananaw,,pagkakaunawa
Noli Me Tangere,Manghihimasok,,pakikialam
Noli Me Tangere,Bulwagan,,silid
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Dinadaluhan,,pinupuntahan
Noli Me Tangere,Pinamumunuan,,pinamamahalaan
Noli Me Tangere,Iminungkahi,,ipinahayag
Noli Me Tangere,Talaan,,sulatan
Noli Me Tangere,Isasakatuparan,,ipapatupad
Noli Me Tangere,Komedya,,nagpapatawa
Noli Me Tangere,Tinutulan,,inayawan
Noli Me Tangere,Kabesa,pinuno,kapitan
Noli Me Tangere,Panukala,,suhestyon
Noli Me Tangere,Tuliro,naguguluhan,nalilito
Noli Me Tangere,Dampa,,bahay
Noli Me Tangere,Nagmakaawa,,nakiusap
Noli Me Tangere,Piitan,,kulungan
Noli Me Tangere,Pagdaramdam,,pagkalungkot
Noli Me Tangere,Karwahe,,sasakyang
Noli Me Tangere,Sinang-ayunan,,pumayag
Noli Me Tangere,Pakikitungo,,pakikisama
Noli Me Tangere,Titiyakin,,sisiguraduhin
Noli Me Tangere,Inimbitahan,,inanyayahan
Noli Me Tangere,Kawaksi,,kasangga
Noli Me Tangere,Paglalakbay,,paglalakad
Noli Me Tangere,Kundiman,,uri
Noli Me Tangere,Pagsulpot,,biglang
Noli Me Tangere,Nilundag,,tumalon
Noli Me Tangere,Pinagmamasdan,,tinititigan
Noli Me Tangere,Nagtatampisaw,,naglalaro
Noli Me Tangere,Nilibot,naglalakad-lakad,
Noli Me Tangere,Alperes,,batang
Noli Me Tangere,Pinahintulutan,,pinayagan
Noli Me Tangere,Sarhento,,ranggo
Noli Me Tangere,Dakipin,,hulihin
Noli Me Tangere,Hinalughog,,hinanap
Noli Me Tangere,Nabigo,,natalo
Noli Me Tangere,Pilosopo,nag-uusisa,matalinong tao
Noli Me Tangere,Nangangahulugan,,ibig
Noli Me Tangere,Gayunpaman,,subalit
Noli Me Tangere,Uusbong,,sisibol
Noli Me Tangere,Panauhin,,bisita
Noli Me Tangere,Mandudula,dramatista,artista
Noli Me Tangere,Kinontrata,,kinausap
Noli Me Tangere,Piitan,,kulungan
Noli Me Tangere,Panauhin,,bisita
Noli Me Tangere,Mapuri,,pinagmamalaki
Noli Me Tangere,Hinandugan,,inalayan
Noli Me Tangere,Nagmungkahi,,nagpahayag
Noli Me Tangere,Paanyaya,,imbitasyon
Noli Me Tangere,Nailathala,,naibalita
Noli Me Tangere,Pahayagan,,naglalaman
Noli Me Tangere,Kaganapan,,pangyayari
Noli Me Tangere,Nasiyahan,,natuwa
Noli Me Tangere,Dinaluhan,,pinuntahan
Noli Me Tangere,Kalembang,,tunog
Noli Me Tangere,Magarbo,bongga,marangya
Noli Me Tangere,Pilosopo,naguusisa,matalinong tao
Noli Me Tangere,Prusisyon,,parada
Noli Me Tangere,Misa,,simba
Noli Me Tangere,Komedya,,palabas
Noli Me Tangere,Maestro,,guro
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Sermon,,pangangaral
Noli Me Tangere,Pulpito,,gamit
Noli Me Tangere,Sermon,,pangangaral
Noli Me Tangere,Nakatuon,nakabaling,naka pokus
Noli Me Tangere,Tinitingala,,hinahangaan
Noli Me Tangere,Tulisan,hindi sumusunod sa batas,bandido
Noli Me Tangere,Naghihikab,,pagkaantok
Noli Me Tangere,Sinusulyapan,,palihim
Noli Me Tangere,Erehe,,hindi
Noli Me Tangere,Makikilahok,,sasali
Noli Me Tangere,Nagdaos,,nagdiwang
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Alperes,,batang
Noli Me Tangere,Hudyat,,senyales
Noli Me Tangere,Sermon,,pangangaral
Noli Me Tangere,Nangangatal,,nanginginig
Noli Me Tangere,Bumbong,,lalagyan
Noli Me Tangere,Nagmungkahi,nag ulat,nagkwento
Noli Me Tangere,Eskribano,,dalubhasa
Noli Me Tangere,Uka,,sira
Noli Me Tangere,Binendisyonan,,binasbasan
Noli Me Tangere,Nagulantang,,nagulat
Noli Me Tangere,Manatili,,magpatuloy
Noli Me Tangere,Matukoy,,masabi
Noli Me Tangere,Milagro,,himala
Noli Me Tangere,Alkalde,,mayor
Noli Me Tangere,Alperes,,batang
Noli Me Tangere,Tinyente,,sundalo
Noli Me Tangere,Eskribano,,dalubhasa
Noli Me Tangere,Telegrama,,sulat
Noli Me Tangere,Kumbento,,simbahan
Noli Me Tangere,Huminahon,,kumalma
Noli Me Tangere,Pumanig,,kumampi
Noli Me Tangere,Makakapagtimpi,,makakapagpigil
