book_title,deep_word,modern_word,english_equivalent
Noli Me Tangere,Alkalde,mayor,mayor
Noli Me Tangere,Porselana,magandang kutis,complexion
Noli Me Tangere,Kalansing,tunog,sound
Noli Me Tangere,Kubyertos,gamit sa pagkain,utensils
Noli Me Tangere,Bulwagan,gusaling pinagtatanghalan,hall
Noli Me Tangere,Adorno,palamuti,decoration
Noli Me Tangere,Kura,pari,priest
Noli Me Tangere,Paisano,katulong,servant
Noli Me Tangere,Erehe,taong di sumasangayon,heretic
Noli Me Tangere,Batid,alam,know
Noli Me Tangere,Yumao,pumanaw,died
Noli Me Tangere,Luksa,pagdadamdam,mourning
Noli Me Tangere,Banyaga,dayuhan,foreigner
Noli Me Tangere,Tinyente,sundalo,soldier
Noli Me Tangere,Kinahatnan,kinalabasan,outcome
Noli Me Tangere,Nilisan,umalis,leave
Noli Me Tangere,Bulwagan,gusaling pinagtatanghalan,hall
Noli Me Tangere,Hiyas,mamahaling kayamanan,jewel
Noli Me Tangere,Talakayan,usapan,discussion
Noli Me Tangere,Tinyente,sundalo,soldier
Noli Me Tangere,Kabisera,punong lungsod,capital
Noli Me Tangere,Sentro,gitna,center
Noli Me Tangere,Kumpesor,taga -gawa,confessor
Noli Me Tangere,Kura,pari,priest
Noli Me Tangere,Kinahantungan,kinalabasan,outcome
Noli Me Tangere,Telegrama,sulat,telegram
Noli Me Tangere,Makalanghap,makaamoy,smell
Noli Me Tangere,Tinyente,sundalo,soldier
Noli Me Tangere,Kwartel,tirahan,tirahan
Noli Me Tangere,Inakusahan,pinagbintangan,accused
Noli Me Tangere,Nangungumpisal,nagpatotoo,confess
Noli Me Tangere,Artilyero,namamahala sa mga gamit sa gyera,artilleryman
Noli Me Tangere,Tampulan,tuksuhin,mockery
Noli Me Tangere,Kamangmangan,walang alam,ignorance
Noli Me Tangere,Dunung,dunungan – nagpapanggap na marunong,wisdom
Noli Me Tangere,Paslit,bata,child
Noli Me Tangere,Umitsa,bumato,throw
Noli Me Tangere,Erehe,taong di sumasangayon,heretic
Noli Me Tangere,Pilibustero,suwail,subversive
Noli Me Tangere,Huwad,sinungaling,false
Noli Me Tangere,Rehas,kulungan,prison
Noli Me Tangere,Tinutuluyan,tinitirahan,residence
Noli Me Tangere,Nagmasid,masid – tumingin tingin,observe
Noli Me Tangere,Natanaw,nakita,saw
Noli Me Tangere,Kalansing,tunog,sound
Noli Me Tangere,Kubyertos,kutsara,spoon
Noli Me Tangere,Balingkinitan,payat,slender
Noli Me Tangere,Nahimlay,nahiga,lay
Noli Me Tangere,Relihiyoso,banal,holy
Noli Me Tangere,Abuloy,pagbibigay,donation
Noli Me Tangere,Gumagasta,gumagastos,spend
Noli Me Tangere,Bulto,bulto – madami,volume
Noli Me Tangere,Alkalde,mayor,mayor
Noli Me Tangere,Piskal,dumudulog,fiscal
Noli Me Tangere,Ganid,mapanglamang,greedy
Noli Me Tangere,Dominiko,"prayle, pari",friar
Noli Me Tangere,Musmos,bata,child
Noli Me Tangere,Maselan,sensitibo,sensitive
Noli Me Tangere,Adorno,palamuti,decoration
Noli Me Tangere,Siwang,maliit na butas,hole
Noli Me Tangere,Beateryo,tinitirhan ng mga madre,convent
Noli Me Tangere,Karwahe,sasakyang hilahila ng kabayo,carriage
Noli Me Tangere,Asotea,balkonahe o gilid ng bahay,balcony
Noli Me Tangere,Masinsinan,seryoso,serious
Noli Me Tangere,Sinariwa,inalala,remembered
Noli Me Tangere,Magtirik,maglagay,light
Noli Me Tangere,Bandido,"tulisan, gumagawa ng masama",bandit
Noli Me Tangere,Kagalakan,kasiyahan,happiness
Noli Me Tangere,Karwahe,sasakyan na hilahila ng kabayo,vehicle
Noli Me Tangere,Kareta,kariton,cart
Noli Me Tangere,Baku,bako – sira sira,bumpy
Noli Me Tangere,Lumalatay,bumabakat,imprints
Noli Me Tangere,Naparam,naglaho,vanished
Noli Me Tangere,Marikit,maganda,beautiful
Noli Me Tangere,Kamangmangan,walang alam,ignorance
Noli Me Tangere,Beateryo,tinitirahan ng mga madre,residence
Noli Me Tangere,Masinsinan,seryoso,serious
Noli Me Tangere,Kumbento,simbahan,churchhan
Noli Me Tangere,Paratang,bintang,accusation
Noli Me Tangere,Nagpahayag,nagsabi,said
Noli Me Tangere,Kampanaryo,kampana,bell
Noli Me Tangere,Nakahimlay,nakalibing,buried
Noli Me Tangere,Luntian,berde,green
Noli Me Tangere,Umuugoy,dumuduyan,swaying
Noli Me Tangere,Umalingasaw,umaamoy,smelling
Noli Me Tangere,Masigasig,masipag,hardworking
Noli Me Tangere,Manilenya,babaeng taga maynila,woman
Noli Me Tangere,Giliw na giliw,sayang saya,waste
Noli Me Tangere,Alkalde,mayor,mayor
Noli Me Tangere,Kura paroko,pinakamataas na pari sa simbahan,highest
Noli Me Tangere,Alperes,opisyal ng militar,opisyal
Noli Me Tangere,Hidwaan,pagaaway,quarrel
Noli Me Tangere,Malawak,malaki,large
Noli Me Tangere,Masukal,madamo,grassy
Noli Me Tangere,Dalubhasa,magaling,good
Noli Me Tangere,Sepulturero,nagtatrabaho sa sementeryo,working
Noli Me Tangere,Nitso,libingan,cemetery
Noli Me Tangere,Puntod,katawan ng namatay,body
Noli Me Tangere,Sepulturero,nagtatrabaho sa sementeryo,working
Noli Me Tangere,Matanaw,makita,makita
Noli Me Tangere,Nanlilisik,nagagalit,angry
Noli Me Tangere,Pilosopo,"nag-uusisa, matalinong tao",curious
Noli Me Tangere,Pananaw,paniniwala,belief
Noli Me Tangere,Kabiyak,asawa,spouse
Noli Me Tangere,Inatupag,inasikaso,attended
Noli Me Tangere,Sinapit,dinanas,experienced
Noli Me Tangere,Naengganyo,naaya o nahikayat,invited
Noli Me Tangere,Napabayaan,naiwan,left behind
Noli Me Tangere,Nagbabadya,nagbabanta,threatening
Noli Me Tangere,Lilipol,sisira,will destroy
Noli Me Tangere,Sanlibutan,mundo,world
Noli Me Tangere,Mungkahi,opinyon,opinion
Noli Me Tangere,Purgatoryo,Dito nananatili ang mga taong namatay na at hindi pa kinukuha ng langit,here
Noli Me Tangere,Talakayan,usapan,discussion
Noli Me Tangere,Nakabuntot,nakasunod,following
Noli Me Tangere,Ibinibintang,isinisisi,blaming
Noli Me Tangere,Aginaldo,bigay o kaloob,given
Noli Me Tangere,Kaluskos,mahinang tunog,weak
Noli Me Tangere,Kinaladkad,hinila,pulled
Noli Me Tangere,Pumanhik,umakyat o sumampa,climbed
Noli Me Tangere,Lulong,adik,addict
Noli Me Tangere,Maidulot,hatid,delivered
Noli Me Tangere,Di inaasahan,hindi hinahangad,no
Noli Me Tangere,Nilamon,kinain,ate
Noli Me Tangere,Nanlumo,"labis na nalungkot, nanghina, nanamlay, nawalan ng pag-asa",excessive
Noli Me Tangere,Tumambad,"bumungad, bumulaga",greeted
Noli Me Tangere,Ikinabahala,ipinag-alala,worried
Noli Me Tangere,Humagulgol,umiyak,cried
Noli Me Tangere,Isinalaysay,ikinuwento,narrated
Noli Me Tangere,Nagdaos,nagsagawa,performed
Noli Me Tangere,Yumao,pumanaw,died
Noli Me Tangere,Lisanin,umalis,leave
Noli Me Tangere,Kaabalahan,maraming ginagawa,many
Noli Me Tangere,Ususera,chismosa/ chismoso,gossiper
Noli Me Tangere,Nagmasid,masid – tumitingin-tingin,observe
Noli Me Tangere,Kinahinatnan,kinahantungan,outcome
Noli Me Tangere,Balakid,sagabal,obstacle
Noli Me Tangere,Pananaw,pagkakaunawa,understanding
Noli Me Tangere,Manghihimasok,pakikialam,interference
Noli Me Tangere,Bulwagan,silid,room
Noli Me Tangere,Alkalde,mayor,mayor
Noli Me Tangere,Dinadaluhan,pinupuntahan,going to
Noli Me Tangere,Pinamumunuan,pinamamahalaan,managed
Noli Me Tangere,Iminungkahi,ipinahayag,declared
Noli Me Tangere,Talaan,sulatan,write
