book_title,deep_word,modern_word,english_equivalent
El Filibusterismo,Garote,bitayan na ang isang lubid na nakasilo sa leeg ng bibitayin ay napipilipit ng isang pamihit sa likod ng bibitayin hanggang mamatay sa sakal,garrote
El Filibusterismo,Kubyerta,bahagi ng bapor,deck
El Filibusterismo,Pagpugay,"paggahasa,pag-rape",rape
El Filibusterismo,Pagtutsada,pagmumura nang may paghamak,insult
El Filibusterismo,Panukala,"mungkahi,balakin",proposal
El Filibusterismo,Paring regular,"uri ng pari,kasama sa orden o korporasyon",regular priest
El Filibusterismo,Paring sekular,"uri ng pari,karaniwa’y Pilipino na walang kinasasapiang samahan o orden",secular priest
El Filibusterismo,Tandisan,"tuwiran,harapan",direct
El Filibusterismo,Tikin,mahabang payat na kawayan na ginagamit sa pagpapatakbo ng sasakyang-pantubig sa pamamagitan ng mga bisig,pole
El Filibusterismo,Uldog,"pari,prayle",priest
El Filibusterismo,Alintana,iniinda,endured
El Filibusterismo,Makihalubilo,makisama,socialize
El Filibusterismo,Namula,napahiya,embarrassed
El Filibusterismo,Paurong,paatras,backward
El Filibusterismo,Pinagpupugayan,ibinabalik ang pagbati,returned greeting
El Filibusterismo,Sagabal,hadlang,obstacle
El Filibusterismo,Sumabat,sumingit,interrupted
El Filibusterismo,Sumugat,nakasakit,hurt
El Filibusterismo,Tutulan,tatangihan,opposed
El Filibusterismo,Umiral,namayani,prevailed
El Filibusterismo,Baging,halamang gumagapang,vine
El Filibusterismo,Bangketa,handaan,feast
El Filibusterismo,Muog,pader,wall
El Filibusterismo,Sinisiyab,binabangga,collided
El Filibusterismo,Taripa,buwis,tax
El Filibusterismo,Buwis,tungkulin; bayad sa gobyerno; tax,tax
El Filibusterismo,Gulok,isang malaking kutsilyo; bolo,bolo
El Filibusterismo,Kabesa de Barangay,pinuno ng Nayon noong panahon ng Kastila,barangay head
El Filibusterismo,Manilbihan,maglingkod,serve
El Filibusterismo,Naidlip,nakatulog,slept
El Filibusterismo,Nilinang,tinamnan,cultivated
El Filibusterismo,Pag-asenso,pag-unlad,progress
El Filibusterismo,Palayok,isang lalagyan para sa pagluluto; kaldero,pot
El Filibusterismo,Pusod,gitna,center
El Filibusterismo,Sinamsam,kinuha o ipinatapon,confiscated
El Filibusterismo,Tulisan,taong humaharang sa mga taong naglalakbay upang,bandit
El Filibusterismo,Ipipiit,ikukulong,imprisoned
El Filibusterismo,Karumata,kalesa,carriage
El Filibusterismo,Kinulata,hinampas; pinukpok ng baril,clubbed
El Filibusterismo,Kutsero,taong nagpapatakbo ng kalesa,driver
El Filibusterismo,Natubigan,natigilan,stunned
El Filibusterismo,Pitagan,paggalang,respect
El Filibusterismo,Sambalilo,sumbrero,hat
El Filibusterismo,Takba,tampipi,basket
